x position,y position,Simulation Output (V),Analytical Output (V),Absolure error (%),Relative error (%)
-0.8367346938775511,-0.46938775510204084,-0.03306341119005909,-0.032758459485418626,0.0,0.92
-0.8367346938775511,-0.42857142857142855,-0.11728523143479522,-0.12476094144446596,0.01,6.37
-0.8367346938775511,-0.3877551020408163,-0.19560788719391953,-0.20839956140723717,0.01,6.54
-0.8367346938775511,-0.3469387755102041,-0.26849742482535566,-0.28367431937373033,0.02,5.65
-0.8367346938775511,-0.30612244897959184,-0.33073516385805835,-0.3505852153439461,0.02,6.0
-0.8367346938775511,-0.2653061224489796,-0.38738688152376194,-0.4091322493178869,0.02,5.61
-0.8367346938775511,-0.22448979591836735,-0.4344916724522749,-0.45931542129554925,0.02,5.71
-0.8367346938775511,-0.1836734693877551,-0.4757528987157742,-0.5011347312769341,0.03,5.34
-0.8367346938775511,-0.14285714285714285,-0.5064294739406006,-0.5345901792620421,0.03,5.56
-0.8367346938775511,-0.10204081632653061,-0.5302573516369573,-0.5596817652508735,0.03,5.55
-0.8367346938775511,-0.061224489795918366,-0.5443097046295972,-0.5764094892434275,0.03,5.9
-0.8367346938775511,-0.02040816326530612,-0.5497687454295158,-0.5847733512397048,0.04,6.37
-0.8367346938775511,0.02040816326530612,-0.557566759187339,-0.5847733512397048,0.03,4.88
-0.8367346938775511,0.061224489795918366,-0.5441485306569951,-0.5764094892434275,0.03,5.93
-0.8367346938775511,0.10204081632653061,-0.5305918817680519,-0.5596817652508735,0.03,5.48
-0.8367346938775511,0.14285714285714285,-0.5062648803645386,-0.5345901792620421,0.03,5.59
-0.8367346938775511,0.1836734693877551,-0.4729093119980834,-0.5011347312769341,0.03,5.97
-0.8367346938775511,0.22448979591836735,-0.43761219323063305,-0.45931542129554925,0.02,4.96
-0.8367346938775511,0.2653061224489796,-0.3855238282743934,-0.4091322493178869,0.02,6.12
-0.8367346938775511,0.30612244897959184,-0.32958520767382815,-0.3505852153439461,0.02,6.37
-0.8367346938775511,0.3469387755102041,-0.26717940278043867,-0.28367431937373033,0.02,6.17
-0.8367346938775511,0.3877551020408163,-0.19837322707772634,-0.20839956140723717,0.01,5.05
-0.8367346938775511,0.42857142857142855,-0.11703931585558672,-0.12476094144446596,0.01,6.6
